filename,label
image_05520.jpg,87
image_05319.jpg,70
image_03097.jpg,11
image_02923.jpg,60
image_04161.jpg,52
image_00614.jpg,89
image_03354.jpg,8
image_03952.jpg,51
image_03530.jpg,30
image_05858.jpg,63
image_06322.jpg,50
image_01749.jpg,83
image_07384.jpg,94
image_06268.jpg,61
image_03317.jpg,8
image_06794.jpg,21
image_05119.jpg,2
image_02663.jpg,58
image_05021.jpg,59
image_03786.jpg,37
image_02155.jpg,75
image_01345.jpg,51
image_07915.jpg,100
image_06153.jpg,19
image_03986.jpg,51
image_00953.jpg,46
image_03316.jpg,8
image_01505.jpg,44
image_03461.jpg,30
image_08142.jpg,57
image_05836.jpg,38
image_01122.jpg,46
image_04944.jpg,20
image_07647.jpg,96
image_03998.jpg,12
image_06821.jpg,24
image_07962.jpg,101
image_05330.jpg,70
image_03246.jpg,65
image_00417.jpg,73
image_07329.jpg,94
image_02432.jpg,43
image_05399.jpg,54
image_00565.jpg,88
image_02527.jpg,76
image_01225.jpg,74
image_00143.jpg,77
image_03980.jpg,51
image_01491.jpg,44
image_07936.jpg,100
image_04528.jpg,71
image_04797.jpg,85
image_02654.jpg,58
image_02005.jpg,80
image_01195.jpg,74
image_03001.jpg,60
image_03438.jpg,23
image_01757.jpg,83
image_00498.jpg,88
image_02819.jpg,56
image_07908.jpg,100
image_08001.jpg,102
image_00913.jpg,81
image_00722.jpg,89
image_06936.jpg,34
image_04443.jpg,90
image_01497.jpg,44
image_07024.jpg,39
image_01521.jpg,44
image_07306.jpg,94
image_02747.jpg,58
image_07113.jpg,10
image_04061.jpg,12
image_06355.jpg,15
image_06595.jpg,25
image_00109.jpg,77
image_01755.jpg,83
image_07008.jpg,39
image_01352.jpg,51
image_04627.jpg,48
image_04542.jpg,71
image_03662.jpg,53
image_01974.jpg,80
image_00337.jpg,73
image_02765.jpg,56
image_07745.jpg,97
image_05772.jpg,13
image_03551.jpg,72
image_07247.jpg,57
image_03155.jpg,11
image_03071.jpg,92
image_05821.jpg,38
image_00725.jpg,89
image_00766.jpg,89
image_04442.jpg,90
image_04049.jpg,12
image_05350.jpg,22
image_00308.jpg,73
image_01279.jpg,74
image_00349.jpg,73
image_03913.jpg,51
image_07068.jpg,67
image_03442.jpg,23
image_07424.jpg,94
image_01792.jpg,83
image_04263.jpg,18
image_03838.jpg,17
image_05775.jpg,13
image_02054.jpg,80
image_03782.jpg,37
image_05584.jpg,32
image_00072.jpg,77
image_04032.jpg,12
image_02760.jpg,56
image_07296.jpg,37
image_06850.jpg,27
image_07266.jpg,57
image_04229.jpg,52
image_05463.jpg,87
image_06500.jpg,26
image_01261.jpg,74
image_01667.jpg,82
image_07818.jpg,98
image_07110.jpg,10
image_04354.jpg,36
image_03215.jpg,65
image_02168.jpg,75
image_07797.jpg,98
image_02534.jpg,76
image_01696.jpg,83
image_01096.jpg,46
image_06166.jpg,19
image_06001.jpg,69
image_03919.jpg,51
image_01631.jpg,82
image_05020.jpg,59
image_01882.jpg,78
image_05449.jpg,54
image_07946.jpg,101
image_01613.jpg,82
image_00979.jpg,46
image_01414.jpg,51
image_05830.jpg,38
image_03476.jpg,30
image_00849.jpg,81
image_03942.jpg,51
image_03828.jpg,17
image_02272.jpg,41
image_02393.jpg,43
image_06465.jpg,33
image_01831.jpg,78
image_03024.jpg,60
image_00048.jpg,77
image_04305.jpg,18
image_04462.jpg,90
image_01351.jpg,51
image_07625.jpg,96
image_03222.jpg,65
image_00447.jpg,88
image_02249.jpg,41
image_01744.jpg,83
image_00845.jpg,81
image_04303.jpg,18
image_03018.jpg,60
image_04382.jpg,36
image_02441.jpg,43
image_00679.jpg,89
image_06329.jpg,50
image_04609.jpg,40
image_01295.jpg,74
image_02886.jpg,86
image_04020.jpg,12
image_04639.jpg,48
image_07653.jpg,96
image_05979.jpg,69
image_04899.jpg,20
image_01113.jpg,46
image_02906.jpg,86
image_00777.jpg,89
image_07744.jpg,97
image_02232.jpg,41
image_02229.jpg,41
image_02154.jpg,75
image_05575.jpg,66
image_07886.jpg,99
image_03210.jpg,65
image_07412.jpg,94
image_01367.jpg,51
image_01470.jpg,51
image_01852.jpg,78
image_01964.jpg,80
image_05517.jpg,87
image_04913.jpg,20
image_05042.jpg,59
image_07835.jpg,99
image_00486.jpg,88
image_02240.jpg,41
image_07059.jpg,67
image_04587.jpg,40
image_04568.jpg,40
image_08003.jpg,102
image_00031.jpg,77
image_04109.jpg,29
image_01880.jpg,78
image_05946.jpg,68
image_07952.jpg,101
image_03264.jpg,65
image_03553.jpg,72
image_05293.jpg,70
image_05608.jpg,32
image_01037.jpg,46
image_00637.jpg,89
image_07649.jpg,96
